Flour,aw,Day,REP,Ecoli_Load
Wheat,0.45,0,1,7.18
Wheat,0.45,3,1,6.42
Wheat,0.45,7,1,5.5
Wheat,0.45,14,1,5.52
Wheat,0.45,21,1,5.35
Wheat,0.45,28,1,5.05
Wheat,0.45,42,1,4.66
Wheat,0.45,56,1,4.14
Wheat,0.45,84,1,2.95
Wheat,0.45,112,1,2.54
Wheat,0.55,0,1,7.14
Wheat,0.55,3,1,6.38
Wheat,0.55,7,1,6.08
Wheat,0.55,14,1,5.85
Wheat,0.55,21,1,5.43
Wheat,0.55,28,1,5.07
Wheat,0.55,42,1,4.27
Wheat,0.55,56,1,3.51
Wheat,0.55,84,1,2.86
Wheat,0.55,112,1,2.39
Wheat,0.65,0,1,7.12
Wheat,0.65,3,1,6.03
Wheat,0.65,7,1,6.22
Wheat,0.65,14,1,5.85
Wheat,0.65,21,1,5.44
Wheat,0.65,28,1,4.68
Wheat,0.65,42,1,4.41
Wheat,0.65,56,1,3.4
Wheat,0.65,84,1,3.07
Wheat,0.65,112,1,2.86
Wheat,0.45,0,2,7.01
Wheat,0.45,3,2,5.45
Wheat,0.45,7,2,5.28
Wheat,0.45,14,2,4.67
Wheat,0.45,21,2,4.36
Wheat,0.45,28,2,4.42
Wheat,0.45,42,2,3.77
Wheat,0.45,56,2,3.38
Wheat,0.45,84,2,3.26
Wheat,0.45,112,2,3.08
Wheat,0.55,0,2,6.64
Wheat,0.55,3,2,5.84
Wheat,0.55,7,2,5.38
Wheat,0.55,14,2,4.84
Wheat,0.55,21,2,4.48
Wheat,0.55,28,2,4.3
Wheat,0.55,42,2,3.46
Wheat,0.55,56,2,3.45
Wheat,0.55,84,2,3.24
Wheat,0.55,112,2,3.05
Wheat,0.65,0,2,6.73
Wheat,0.65,3,2,5.39
Wheat,0.65,7,2,5.18
Wheat,0.65,14,2,5.06
Wheat,0.65,21,2,4.44
Wheat,0.65,28,2,4.77
Wheat,0.65,42,2,3.9
Wheat,0.65,56,2,3.41
Wheat,0.65,84,2,3.3
Wheat,0.65,112,2,3.17
Wheat,0.45,0,3,7.01
Wheat,0.45,3,3,5.58
Wheat,0.45,7,3,4.79
Wheat,0.45,14,3,4.86
Wheat,0.45,21,3,4.81
